"id","value","flag","label"
0,0,true,"row-0"
1,0.01,false,"row-1"
2,0.02,true,"row-2"
3,0.03,false,"row-3"
4,0.04,true,"row-4"
5,0.05,false,"row-5"
6,0.06,true,"row-6"
7,0.07,false,"row-7"
8,0.08,true,"row-8"
9,0.09,false,"row-9"
10,0.1,true,"row-10"
11,0.11,false,"row-11"
12,0.12,true,"row-12"
13,0.13,false,"row-13"
14,0.14,true,"row-14"
15,0.15,false,"row-15"
16,0.16,true,"row-16"
17,0.17,false,"row-17"
18,0.18,true,"row-18"
19,0.19,false,"row-19"
20,0.2,true,"row-20"
21,0.21,false,"row-21"
22,0.22,true,"row-22"
23,0.23,false,"row-23"
24,0.24,true,"row-24"
25,0.25,false,"row-25"
26,0.26,true,"row-26"
27,0.27,false,"row-27"
28,0.28,true,"row-28"
29,0.29,false,"row-29"
30,0.3,true,"row-30"
31,0.31,false,"row-31"
32,0.32,true,"row-32"
33,0.33,false,"row-33"
34,0.34,true,"row-34"
35,0.35,false,"row-35"
36,0.36,true,"row-36"
37,0.37,false,"row-37"
38,0.38,true,"row-38"
39,0.39,false,"row-39"
40,0.4,true,"row-40"
41,0.41,false,"row-41"
42,0.42,true,"row-42"
43,0.43,false,"row-43"
44,0.44,true,"row-44"
45,0.45,false,"row-45"
46,0.46,true,"row-46"
47,0.47,false,"row-47"
48,0.48,true,"row-48"
49,0.49,false,"row-49"
50,0.5,true,"row-50"
51,0.51,false,"row-51"
52,0.52,true,"row-52"
53,0.53,false,"row-53"
54,0.54,true,"row-54"
55,0.55,false,"row-55"
56,0.56,true,"row-56"
57,0.57,false,"row-57"
58,0.58,true,"row-58"
59,0.59,false,"row-59"
60,0.6,true,"row-60"
61,0.61,false,"row-61"
62,0.62,true,"row-62"
63,0.63,false,"row-63"
64,0.64,true,"row-64"
65,0.65,false,"row-65"
66,0.66,true,"row-66"
67,0.67,false,"row-67"
68,0.68,true,"row-68"
69,0.69,false,"row-69"
70,0.7,true,"row-70"
71,0.71,false,"row-71"
72,0.72,true,"row-72"
73,0.73,false,"row-73"
74,0.74,true,"row-74"
75,0.75,false,"row-75"
76,0.76,true,"row-76"
77,0.77,false,"row-77"
78,0.78,true,"row-78"
79,0.79,false,"row-79"
80,0.8,true,"row-80"
81,0.81,false,"row-81"
82,0.82,true,"row-82"
83,0.83,false,"row-83"
84,0.84,true,"row-84"
85,0.85,false,"row-85"
86,0.86,true,"row-86"
87,0.87,false,"row-87"
88,0.88,true,"row-88"
89,0.89,false,"row-89"
90,0.9,true,"row-90"
91,0.91,false,"row-91"
92,0.92,true,"row-92"
93,0.93,false,"row-93"
94,0.94,true,"row-94"
95,0.95,false,"row-95"
96,0.96,true,"row-96"
97,0.97,false,"row-97"
98,0.98,true,"row-98"
99,0.99,false,"row-99"
100,1,true,"row-100"
101,1.01,false,"row-101"
102,1.02,true,"row-102"
103,1.03,false,"row-103"
104,1.04,true,"row-104"
105,1.05,false,"row-105"
106,1.06,true,"row-106"
107,1.07,false,"row-107"
108,1.08,true,"row-108"
109,1.09,false,"row-109"
110,1.1,true,"row-110"
111,1.11,false,"row-111"
112,1.12,true,"row-112"
113,1.13,false,"row-113"
